index,designation,ra,dec,phot_g_mean_mag,phot_rp_mean_mag,phot_bp_mean_mag,ruwe,teff_gspphot
0,Gaia DR3 2305766769250785664,358.2332297028911,89.44472763782707,9.078699,8.334633,9.675813,1.0316688,5254.019
1,Gaia DR3 1151214791978952832,137.21604947253317,86.83469708923066,9.159187,8.770677,9.387529,0.9638704,6326.3564
2,Gaia DR3 2303536169395478656,274.8500268701619,86.40881080851405,10.304031,9.954148,10.511786,1.130994,6570.737
3,Gaia DR3 575181264366775808,52.14807087583565,87.3946770062632,9.034538,8.643133,9.267805,0.96390766,6351.3594
4,Gaia DR3 1726456495125335552,188.3545134608057,84.67895084010047,9.2003765,8.622827,9.60652,1.0589598,5405.0
5,Gaia DR3 2299507593152056960,329.0983871221188,83.3158942806575,9.8269205,9.44528,10.053948,1.0064389,6482.3545
6,Gaia DR3 1143546248131775232,104.68900829370251,82.57741414062029,9.093359,8.412126,9.604187,0.95435727,5899.7256
7,Gaia DR3 1723127959893775360,242.24304237872562,83.36299124576946,9.131674,8.712043,9.386092,1.088641,6226.9077
8,Gaia DR3 573235820277491200,20.714711355372383,83.80942721557669,9.446137,8.921381,9.797013,0.8757042,5618.6704
9,Gaia DR3 1146343302632960768,158.73698944827643,82.40988127404366,9.6927395,9.394777,9.856952,1.3240957,6932.691
10,Gaia DR3 2295386417412363264,293.9921594744286,81.3512639694532,9.192176,8.861381,9.378863,0.80016565,6728.5854
11,Gaia DR3 556750636282756224,74.09851634810772,80.98390598057256,9.662577,9.249286,9.913599,0.9828417,6154.1235
12,Gaia DR3 1725536272611804288,211.2146171526805,83.45446309418297,9.574512,8.911313,10.070719,0.92213863,5411.6006
13,Gaia DR3 2287296107776383488,347.7347633882731,81.81641603491178,9.073901,8.752604,9.251592,0.9518806,6844.398
14,Gaia DR3 1148575925416616448,123.11495487580868,82.47113632992362,9.054082,8.70764,9.25278,1.3830141,6714.442
15,Gaia DR3 1706820213885293056,264.5983503777915,80.65039390808758,9.03049,8.650794,9.255836,0.8305761,6393.567
16,Gaia DR3 568852892050191232,41.37692266345577,81.67459568410669,9.01888,8.615416,9.262586,1.0272939,6581.849
17,Gaia DR3 1130026996753289216,178.81554843612182,79.67579692279325,9.134319,8.604838,9.496475,0.98182994,5576.145
18,Gaia DR3 2296970435710714112,315.3357029831586,79.55366969503304,9.118476,8.763349,9.323428,0.918028,6551.438
19,Gaia DR3 1141490711143530752,92.57027640954001,79.97057003843095,9.685467,9.270229,9.935793,0.92401296,6148.0015
20,Gaia DR3 1721282086028977664,230.90344784194502,81.33532832006269,9.516563,9.103399,9.77152,0.9733635,6168.5464
21,Gaia DR3 564753466026738304,8.914787979886677,79.25894794240703,9.114203,8.552267,9.504123,0.90605116,5244.0977
22,Gaia DR3 1131734607030650624,145.6102104571813,78.46432813367515,9.2303915,8.571299,9.727768,1.0411375,5010.2803
