pl_name,hostname,pl_letter,discoverymethod,disc_year,disc_facility,tran_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_eqt,pl_eqterr1,pl_eqterr2,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,st_rotp,st_rotperr1,st_rotperr2,pl_orbper_reflink,pl_orbsmax_reflink,pl_rade_reflink,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmasse_reflink,pl_insol_reflink,pl_eqt_reflink,pl_imppar_reflink,pl_trandur_reflink,pl_ratdor_reflink,pl_ratror_reflink,TSM,transSignal,manual_add
WASP-107 b,WASP-107,b,Transit,2017,SuperWASP-South,1,5.7214742,,,0,0.055,0.001,-0.001,0.0,10.536,0.224,-0.224,0,Mass,0.06,0.04,-0.04,0.0,37.03,,,0.0,89.56,0.078,-0.078,0.0,0.139,0.024,-0.024,0.0,2.73864,0.001944,-0.001944,0.0,18.164,0.037,-0.037,0.0,0.14434,0.00018,-0.00018,0.0,736.0,17.0,-17.0,4425.0,70.0,-70.0,0.0,0.67,0.02,-0.02,0,0.68,0.02,-0.02,0,4.63,0.01,-0.01,0.0,12h33m32.74s,188.3864277,-10d08m46.37s,-10.1462141,64.7414,0.2617,-0.2596,11.592,0.208,-0.208,9.378,0.021,-0.021,8.777,0.026,-0.026,8.637,0.023,-0.023,17.0,1.0,-1.0,<a refstr=PIAULET_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...70P/abstract target=ref>Piaulet et al. 2021</a>,<a refstr=ANDERSON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...604A.110A/abstract target=ref>Anderson et al. 2017</a>,<a refstr=ANDERSON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...604A.110A/abstract target=ref>Anderson et al. 2017</a>,30.5,1.7,-1.7,0.0,<a refstr=PIAULET_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...70P/abstract target=ref>Piaulet et al. 2021</a>,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,<a refstr=MO__X10D_NIK_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.469.1622M/abstract target=ref>Mo&#x10Dnik et al. 2017</a>,<a refstr=MO__X10D_NIK_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.469.1622M/abstract target=ref>Mo&#x10Dnik et al. 2017</a>,<a refstr=MO__X10D_NIK_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.469.1622M/abstract target=ref>Mo&#x10Dnik et al. 2017</a>,<a refstr=DAI__AMP__WINN_2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..205D/abstract target=ref>Dai &amp Winn 2017</a>,<a refstr=DAI__AMP__WINN_2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..205D/abstract target=ref>Dai &amp Winn 2017</a>,962.8386068196565,0.0030419236423167495,0.0
WASP-69 b,WASP-69,b,Transit,2014,SuperWASP,1,3.86814,2e-06,-2e-06,0,0.04525,0.00053,-0.00053,0.0,12.442,0.448,-0.448,0,Mass,0.0,,,0.0,180.56,,,0.0,86.71,0.2,-0.2,0.0,0.686,0.023,-0.023,0.0,2.1610195,0.0107073,-0.0107073,0.0,12.0,0.46,-0.46,0.0,0.13263589324454875,,,,963.0,18.0,-18.0,4700.0,50.0,-50.0,0.0,0.86,0.03,-0.03,0,0.98,0.14,-0.14,0,4.5,0.15,-0.15,0.0,21h00m06.23s,315.0259661,-05d05m41.49s,-5.094857,49.9605,0.132,-0.1313,9.873,0.006,-0.006,8.032,0.023,-0.023,7.543,0.023,-0.023,7.459,0.024,-0.024,23.07,0.16,-0.16,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,<a refstr=ANDERSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.445.1114A/abstract target=ref>Anderson et al. 2014</a>,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,92.1707,9.5349,-9.5349,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,<a refstr=CASASAYAS_BARRIS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A.135C/abstract target=ref>Casasayas-Barris et al. 2017</a>,<a refstr=CASASAYAS_BARRIS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A.135C/abstract target=ref>Casasayas-Barris et al. 2017</a>,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Calculated,774.4705897260907,0.0013133089405272822,0.0
HIP 65 A b,HIP 65 A,b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,0.9809734,3.1e-06,-3.1e-06,0,0.01782,0.0002,-0.00021,0.0,22.754,6.837,-5.492,0,Mass,0.0,,,0.0,661.0,28.0,-29.0,0.0,77.18,0.92,-1.0,0.0,1.169,0.095,-0.077,0.0,0.78576,0.006,-0.006,0.0,5.289,0.051,-0.045,0.0,0.287,0.088,-0.068,0.0,1411.0,15.0,-15.0,4590.0,49.0,-49.0,0.0,0.72,0.01,-0.01,0,0.78,0.03,-0.03,0,4.61,0.01,-0.01,0.0,00h00m44.55s,0.1856063,-54d49m50.96s,-54.8308228,61.7856,0.0806,-0.0804,11.0,0.03,-0.03,8.922,0.019,-0.019,8.4,0.031,-0.031,8.29,0.025,-0.025,13.2,1.9,-1.4,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,1021.18779,24.79074,-24.79074,0.0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,593.2360151836243,0.0014871819883660994,0.0
GJ 1214 b,GJ 1214,b,Transit,2009,MEarth Project,1,1.58040433,1.3e-07,-1.3e-07,0,0.0149,0.00026,-0.00026,0.0,2.742,0.05,-0.053,0,Mass,0.063,,,1.0,21.0,2.7,-2.5,0.0,88.7,0.1,-0.1,0.0,0.325,0.025,-0.025,0.0,0.8688,0.00288,-0.00288,0.0,14.85,0.16,-0.16,0.0,0.116,0.0005,-0.0005,0.0,596.0,19.0,-19.0,3250.0,100.0,-100.0,0.0,0.21,0.01,-0.01,0,0.18,0.01,-0.01,0,5.03,0.04,-0.04,0.0,17h15m19.54s,258.8313991,+04d57m38.45s,4.9606795,14.6427,0.0372,-0.0372,15.1,0.2,-0.2,9.75,0.024,-0.024,9.094,0.024,-0.024,8.782,0.02,-0.02,124.7,5.0,-4.8,<a refstr=CLOUTIER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714732C/abstract target=ref>Cloutier et al. 2021</a>,<a refstr=CLOUTIER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714732C/abstract target=ref>Cloutier et al. 2021</a>,<a refstr=CLOUTIER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714732C/abstract target=ref>Cloutier et al. 2021</a>,8.17,0.43,-0.43,0.0,<a refstr=CLOUTIER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714732C/abstract target=ref>Cloutier et al. 2021</a>,<a refstr=CLOUTIER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714732C/abstract target=ref>Cloutier et al. 2021</a>,<a refstr=CLOUTIER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714732C/abstract target=ref>Cloutier et al. 2021</a>,<a refstr=CLOUTIER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714732C/abstract target=ref>Cloutier et al. 2021</a>,<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>,<a refstr=CLOUTIER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714732C/abstract target=ref>Cloutier et al. 2021</a>,<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>,482.1237326106298,0.0015457127936610157,0.0
TOI-3884 b,TOI-3884,b,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,4.5445697,9.4e-06,-9.4e-06,0,0.0354,0.0014,-0.0014,0.0,6.0,0.18,-0.18,0,Mass,0.32,,,1.0,7.42,0.77,-0.77,0.0,90.1,0.29,-0.29,0.0,-0.04,0.13,-0.13,0.0,1.646,0.011,-0.011,0.0,25.01,0.65,-0.65,0.0,0.1808,0.0014,-0.0014,0.0,463.0,12.0,-12.0,3269.0,70.0,-70.0,0.0,0.3,0.01,-0.01,0,0.28,0.01,-0.01,0,4.92,0.03,-0.03,0.0,12h06m17.24s,181.5718341,+12d30m25.29s,12.5070258,43.1448,0.169,-0.1678,15.744,0.008,-0.008,11.127,0.021,-0.021,10.552,0.02,-0.02,10.24,0.017,-0.017,,,,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221010909A/abstract target=ref>Almenara et al. 2022</a>,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221010909A/abstract target=ref>Almenara et al. 2022</a>,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221010909A/abstract target=ref>Almenara et al. 2022</a>,16.5,3.5,-1.8,0.0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221010909A/abstract target=ref>Almenara et al. 2022</a>,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221010909A/abstract target=ref>Almenara et al. 2022</a>,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221010909A/abstract target=ref>Almenara et al. 2022</a>,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221010909A/abstract target=ref>Almenara et al. 2022</a>,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221010909A/abstract target=ref>Almenara et al. 2022</a>,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221010909A/abstract target=ref>Almenara et al. 2022</a>,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221010909A/abstract target=ref>Almenara et al. 2022</a>,460.89938525912595,0.003160576589090466,0.0
WASP-177 b,WASP-177,b,Transit,2019,SuperWASP,1,3.071722,1e-06,-1e-06,0,0.03957,0.00058,-0.00058,0.0,17.71,7.398,-4.035,0,Mass,,,,,279.77,,,0.0,84.14,0.66,-0.83,0.0,0.98,0.092,-0.06,0.0,1.6128,0.0312,-0.0312,0.0,9.61,0.42,-0.53,0.0,0.18243067930933682,,,,1142.0,32.0,-32.0,5017.0,70.0,-70.0,0.0,0.89,0.05,-0.05,0,0.88,0.04,-0.04,0,4.49,0.05,-0.04,0.0,22h19m11.28s,334.7969885,-01d50m03.95s,-1.8344301,176.818,2.428,-2.364,12.312,0.08,-0.08,10.654,0.024,-0.024,10.244,0.022,-0.022,10.163,0.023,-0.023,,,,<a refstr=TURNER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.485.5790T/abstract target=ref>Turner et al. 2019</a>,<a refstr=TURNER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.485.5790T/abstract target=ref>Turner et al. 2019</a>,<a refstr=TURNER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.485.5790T/abstract target=ref>Turner et al. 2019</a>,161.45764,12.07754,-12.07754,0.0,<a refstr=TURNER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.485.5790T/abstract target=ref>Turner et al. 2019</a>,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,<a refstr=TURNER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.485.5790T/abstract target=ref>Turner et al. 2019</a>,<a refstr=TURNER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.485.5790T/abstract target=ref>Turner et al. 2019</a>,<a refstr=TURNER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.485.5790T/abstract target=ref>Turner et al. 2019</a>,<a refstr=TURNER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.485.5790T/abstract target=ref>Turner et al. 2019</a>,Calculated,422.06662769171646,0.00239410384942195,0.0
TOI-1130 c,TOI-1130,c,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,8.350381,3.2e-05,-3.3e-05,0,0.07098,0.00056,-0.0006,0.0,16.814,3.026,-2.466,0,Mass,0.047,0.04,-0.027,0.0,19.93,,,0.0,87.43,0.16,-0.16,0.0,0.995,0.046,-0.043,0.0,2.02,0.044,-0.044,0.0,22.21,0.5,-0.43,0.0,0.218,0.037,-0.029,0.0,637.0,12.0,-12.0,4250.0,67.0,-67.0,0.0,0.69,0.02,-0.02,0,0.68,0.02,-0.02,0,4.6,0.02,-0.02,0.0,19h05m30.24s,286.3760037,-41d26m15.50s,-41.4376399,58.2609,0.17,-0.1691,11.595,0.026,-0.026,9.055,0.023,-0.023,8.493,0.059,-0.059,8.351,0.033,-0.033,,,,<a refstr=HUANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...892L...7H/abstract target=ref>Huang et al. 2020</a>,<a refstr=HUANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...892L...7H/abstract target=ref>Huang et al. 2020</a>,<a refstr=HUANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...892L...7H/abstract target=ref>Huang et al. 2020</a>,309.56642,13.66669,-13.98452,0.0,<a refstr=HUANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...892L...7H/abstract target=ref>Huang et al. 2020</a>,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,<a refstr=HUANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...892L...7H/abstract target=ref>Huang et al. 2020</a>,<a refstr=HUANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...892L...7H/abstract target=ref>Huang et al. 2020</a>,<a refstr=HUANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...892L...7H/abstract target=ref>Huang et al. 2020</a>,<a refstr=HUANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...892L...7H/abstract target=ref>Huang et al. 2020</a>,<a refstr=HUANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...892L...7H/abstract target=ref>Huang et al. 2020</a>,365.08868700182853,0.0009442582485172626,0.0
WASP-52 b,WASP-52,b,Transit,2012,SuperWASP,1,1.7497798,1.2e-06,-1.2e-06,0,0.0272,0.0003,-0.0003,0.0,14.24,0.34,-0.34,0,Mass,0.0,,,0.0,,,,,85.35,0.2,-0.2,0.0,0.6,0.02,-0.02,0.0,1.8096,0.012,-0.012,0.0,7.3801,0.1106,-0.1073,0.0,0.1608,0.0018,-0.0018,0.0,1315.0,35.0,-35.0,5000.0,100.0,-100.0,0.0,0.79,0.02,-0.02,0,0.87,0.03,-0.03,0,4.58,0.01,-0.01,0.0,23h13m58.75s,348.4947931,+08d45m39.89s,8.7610793,174.818,1.343,-1.323,12.192,0.069,-0.069,10.588,0.022,-0.022,10.186,0.028,-0.028,10.086,0.025,-0.025,,,,<a refstr=HEBRARD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A.134H/abstract target=ref> Hebrard et al. 2013 </a>,<a refstr=HEBRARD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A.134H/abstract target=ref> Hebrard et al. 2013 </a>,<a refstr=HEBRARD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A.134H/abstract target=ref> Hebrard et al. 2013 </a>,146.2,6.36,-6.36,0.0,<a refstr=HEBRARD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A.134H/abstract target=ref> Hebrard et al. 2013 </a>,,<a refstr=HEBRARD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A.134H/abstract target=ref> Hebrard et al. 2013 </a>,<a refstr=HEBRARD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A.134H/abstract target=ref> Hebrard et al. 2013 </a>,<a refstr=HEBRARD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A.134H/abstract target=ref> Hebrard et al. 2013 </a>,<a refstr=HEBRARD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A.134H/abstract target=ref> Hebrard et al. 2013 </a>,<a refstr=CHEN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...600L..11C/abstract target=ref>Chen et al. 2017</a>,365.04970841229976,0.0019018735025268148,0.0
WASP-80 b,WASP-80,b,Transit,2012,SuperWASP,1,3.06785234,8.3e-07,-7.9e-07,0,0.0344,0.001,-0.0011,0.0,11.198,0.336,-0.347,0,Mass,0.002,0.01,-0.002,0.0,72.44,,,0.0,89.02,0.11,-0.1,0.0,0.215,0.02,-0.022,0.0,2.131,0.0031,-0.0034,0.0,12.63,0.08,-0.13,0.0,0.17137,0.00037,-0.00039,0.0,825.0,19.0,-19.0,4143.0,92.0,-94.0,0.0,0.59,0.02,-0.02,0,0.58,0.05,-0.05,0,4.66,0.02,-0.02,0.0,20h12m40.03s,303.1667996,-02d08m39.97s,-2.1444369,49.7876,0.11605,-0.11605,11.841,0.034,-0.034,9.218,0.023,-0.023,8.513,0.026,-0.026,8.351,0.022,-0.022,,,,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,170.99254,11.12405,-11.44188,0.0,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,320.8425737541866,0.0009111880407318295,0.0
HAT-P-12 b,HAT-P-12,b,Transit,2009,HATNet,1,3.2130598,2.1e-06,-2.1e-06,0,0.0384,0.0003,-0.0003,0.0,10.749,0.325,-0.235,0,Mass,0.0,,,0.0,118.08,,,0.0,89.0,0.4,-0.4,0.0,0.211,0.066,-0.078,0.0,2.3376,0.0144,-0.0144,0.0,11.77,0.15,-0.21,0.0,0.1406,0.0013,-0.0013,0.0,963.0,16.0,-16.0,4650.0,60.0,-60.0,0.0,0.7,0.02,-0.01,0,0.73,0.02,-0.02,0,4.61,0.01,-0.01,0.0,13h57m33.27s,209.3886452,+43d29m35.92s,43.49331,142.751,0.453,-0.45,12.665,0.057,-0.057,10.794,0.023,-0.023,10.236,0.022,-0.022,10.108,0.016,-0.016,,,,<a refstr=HARTMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...706..785H/abstract target=ref> Hartman et al. 2009 </a>,<a refstr=HARTMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...706..785H/abstract target=ref> Hartman et al. 2009 </a>,<a refstr=HARTMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...706..785H/abstract target=ref> Hartman et al. 2009 </a>,67.059,3.814,-3.814,0.0,<a refstr=HARTMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...706..785H/abstract target=ref> Hartman et al. 2009 </a>,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,<a refstr=HARTMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...706..785H/abstract target=ref> Hartman et al. 2009 </a>,<a refstr=HARTMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...706..785H/abstract target=ref> Hartman et al. 2009 </a>,<a refstr=HARTMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...706..785H/abstract target=ref> Hartman et al. 2009 </a>,<a refstr=HARTMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...706..785H/abstract target=ref> Hartman et al. 2009 </a>,<a refstr=HARTMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...706..785H/abstract target=ref> Hartman et al. 2009 </a>,290.3856581978843,0.0017523832282261642,0.0
