# Prioritization file for 10 HJs
# Version: 1.0.0
# Updated by: system
# Updated on: 2026-07-14
#
# Column 1: Rank
# Column 2: Target Name
# Column 3: Priority
# Column 4: Number of Transits Requested
# Column 5: Number of Transits Observed
# Column 6: Number of Transits Remaining
rank,target,priority,transits_req,transits_obs,transits_rem
0,TOI-2431b,0.920000,10.0,0.0,10.0
1,WASP-17b,0.910000,10.0,0.0,10.0
2,NGTS-11b,0.900000,10.0,0.0,10.0
3,TOI-2134c,0.890000,10.0,0.0,10.0
4,TOI-700b,0.880000,10.0,0.0,10.0
5,KELT-3b,0.870000,10.0,0.0,10.0
6,KELT-4_Ab,0.860000,10.0,0.0,10.0
7,TOI-615b,0.850000,10.0,0.0,10.0
8,WASP-127b,0.840000,10.0,0.0,10.0
9,WASP-13b,0.830000,10.0,0.0,10.0
10,WASP-14b,0.820000,10.0,0.0,10.0
11,WASP-167b,0.810000,10.0,0.0,10.0
12,WASP-178b,0.800000,10.0,0.0,10.0
13,WASP-34b,0.790000,10.0,0.0,10.0
14,WASP-85_Ab,0.780000,10.0,0.0,10.0
15,HD_209458b,0.770000,10.0,0.0,10.0
16,KELT-20b,0.760000,10.0,0.0,10.0
17,MASCARA-1b,0.750000,10.0,0.0,10.0
18,TOI-1431b,0.740000,10.0,0.0,10.0
19,TOI-1518b,0.730000,10.0,0.0,10.0
20,WASP-38b,0.720000,10.0,0.0,10.0
21,WASP-74b,0.710000,10.0,0.0,10.0
22,WASP-95b,0.700000,10.0,0.0,10.0
