# Prioritization file for auxiliary-exoplanet
# Version: 1.0.0
# Updated by: system
# Updated on: 2025-12-30 22:50:55
#
# Column 1: Rank
# Column 2: Target Name
# Column 3: Priority
# Column 4: Number of Transits Requested
# Column 5: Number of Transits Observed
# Column 6: Number of Transits Remaining
rank,target,priority,transits_req,transits_obs,transits_rem
0,55_Cnce,0.9,4.0,0,4.0
1,HD_213885b,0.887234,4.0,0,4.0
2,TOI-561b,0.874468,4.0,0,4.0
3,TOI-1408b,0.861702,1.0,0,1.0
4,GJ_486b,0.848936,4.0,0,4.0
5,EPIC-212813907b,0.83617,1.0,0,1.0
6,TOI-1130b,0.823404,1.0,0,1.0
7,TOI-1130c,0.810638,1.0,0.0,1.0
8,IRAS_04125+2902b,0.797872,1.0,0,1.0
9,TOI-3235b,0.785106,1.0,0,1.0
10,TOI-3757b,0.77234,1.0,0,1.0
11,TOI-674b,0.759574,1.0,0,1.0
12,TOI-1860b,0.746809,4.0,0,4.0
13,GJ_806b,0.734043,4.0,0,4.0
14,K2-141b,0.721277,4.0,0,4.0
15,HD_3167b,0.708511,4.0,0,4.0
16,TOI-4527b,0.695745,4.0,0,4.0
17,TOI-5349b,0.682979,1.0,0,1.0
18,TOI-431b,0.670213,4.0,0,4.0
19,HD_20329b,0.657447,4.0,0,4.0
20,GJ_367b,0.644681,4.0,0,4.0
21,TOI-1634b,0.631915,4.0,0,4.0
22,TOI-519b,0.619149,1.0,0,1.0
23,HATS-75b,0.606383,1.0,0,1.0
24,TOI-7189b,0.593617,1.0,0,1.0
25,K2-33b,0.580851,1.0,0,1.0
26,TOI-1027b,0.568085,1.0,0,1.0
27,TOI-1027c,0.555319,1.0,0,1.0
28,TOI-1027d,0.542553,1.0,0,1.0
29,WASP-84b,0.529787,1.0,0,1.0
30,WASP-132b,0.517021,1.0,0.0,1.0
31,WASP-79b,0.504255,4.0,0,4.0
32,TOI-5671b,0.491489,1.0,0,1.0
33,TOI-7149b,0.478723,1.0,0,1.0
34,TOI-5205b,0.465957,1.0,0,1.0
35,TOI-1899b,0.453191,1.0,0,1.0
36,TOI-7265b,0.440426,1.0,0,1.0
37,TOI-6034b,0.42766,1.0,0,1.0
38,TOI-5293_Ab,0.414894,1.0,0,1.0
39,HATS-6b,0.402128,1.0,0,1.0
40,TOI-6894b,0.389362,1.0,0,1.0
41,TOI-3714b,0.376596,1.0,0,1.0
42,LTT_3780b,0.36383,4.0,0,4.0
43,HD_93963_Ab,0.351064,4.0,0,4.0
44,KELT-11b,0.338298,1.0,0,1.0
45,TOI-700b,0.325532,4.0,0.0,4.0
46,TOI-700d,0.312766,5.0,0.0,5.0
47,TOI-700c,0.3,4.0,0.0,4.0
