# Priority file for auxiliary-standard
# Version 0.1.3
# Updated on: 2025-03-12 21:22:24
# Updated by: Ben Hord
#
# Column 1: Rank
# Column 2: Target Name
# Column 3: Priority
# Column 4: Number of Hours Requested
# Column 5: Number of Hours Observed
# Column 6: Number of Hours Remaining
rank,target,priority,hours_req,hours_obs,hours_rem
0,TOI-1634b,0.9,10.0,0.0,10.0
1,WASP-107b,0.8809523809523809,10.0,0.0,10.0
2,TOI-1685b,0.861904761904762,10.0,0.0,10.0
3,HAT-P-12b,0.8428571428571429,10.0,0.0,10.0
4,GJ_3470b,0.8238095238095238,10.0,0.0,10.0
5,WASP-52b,0.8047619047619048,10.0,0.0,10.0
6,WASP-132b,0.7857142857142857,10.0,0.0,10.0
7,TOI-216b,0.7666666666666666,10.0,0.0,10.0
8,WASP-132c,0.7476190476190476,10.0,0.0,10.0
9,TOI-1416b,0.7285714285714286,10.0,0.0,10.0
10,GJ_806b,0.7095238095238096,10.0,0.0,10.0
11,GJ_3090b,0.6904761904761905,10.0,0.0,10.0
12,HIP_65_Ab,0.6714285714285715,10.0,0.0,10.0
13,TOI-1130c,0.6523809523809524,10.0,0.0,10.0
14,TOI-1452b,0.6333333333333333,10.0,0.0,10.0
15,K2-198b,0.6142857142857143,10.0,0.0,10.0
16,HD_3167b,0.5952380952380952,10.0,0.0,10.0
17,HAT-P-26b,0.5761904761904761,10.0,0.0,10.0
18,HAT-P-18b,0.5571428571428572,10.0,0.0,10.0
19,L_98-59b,0.5380952380952381,10.0,0.0,10.0
20,K2-141c,0.519047619047619,10.0,0.0,10.0
21,WASP-80b,0.5,10.0,0.0,10.0
22,TOI-2411b,0.4809523809523809,10.0,0.0,10.0
23,TOI-3884b,0.4619047619047619,10.0,0.0,10.0
24,TOI-2076b,0.4428571428571428,10.0,0.0,10.0
25,LTT_1445_Ac,0.4238095238095238,10.0,0.0,10.0
26,WASP-177b,0.4047619047619047,10.0,0.0,10.0
27,WASP-69b,0.3857142857142857,10.0,0.0,10.0
28,TOI-942b,0.3666666666666666,10.0,0.0,10.0
29,WASP-29b,0.3476190476190476,10.0,0.0,10.0
30,TOI-942c,0.3285714285714285,10.0,0.0,10.0
31,GJ_9827b,0.3095238095238095,10.0,0.0,10.0
32,TOI-700c,0.2904761904761904,10.0,0.0,10.0
33,GJ_1214b,0.2714285714285713,10.0,0.0,10.0
34,TOI-836b,0.2523809523809524,10.0,0.0,10.0
35,LTT_1445_Ab,0.2333333333333332,10.0,0.0,10.0
36,K2-141b,0.2142857142857143,10.0,0.0,10.0
37,TOI-244b,0.1952380952380952,10.0,0.0,10.0
38,TOI-776b,0.1761904761904761,10.0,0.0,10.0
39,TOI-2427b,0.1571428571428571,10.0,0.0,10.0
40,HIP_113103b,0.138095238095238,10.0,0.0,10.0
41,TOI-540b,0.1190476190476189,10.0,0.0,10.0
42,L_98-59d,0.1,10.0,0.0,10.0
