# Prioritization file for exoplanet
# Version: 1.0.0
# Updated by: Joe P. Renaud
# Updated on: 2026-09-04 16:39:36
#
# Column 1: Rank
# Column 2: Target Name
# Column 3: Priority
# Column 4: Number of Transits Requested
# Column 5: Number of Transits Observed
# Column 6: Number of Transits Remaining
rank,target,priority,transits_req,transits_obs,transits_rem
0,V1298_Tauc,0.9,10.0,0.0,10.0
1,HD_189733b,0.891781,10.0,0.0,10.0
2,GJ_436b,0.883562,10.0,0.0,10.0
3,WASP-52b,0.875342,10.0,0.0,10.0
4,GJ_3470b,0.867123,10.0,0.0,10.0
5,TOI-674b,0.858904,10.0,0.0,10.0
6,TOI-181b,0.850685,10.0,0.0,10.0
7,HD_260655c,0.842466,10.0,0.0,10.0
8,TOI-544b,0.834247,10.0,0.0,10.0
9,TOI-1807b,0.826027,10.0,0.0,10.0
10,WASP-107b,0.817808,4.0,0.0,4.0
11,L_98-59d,0.809589,4.0,0.0,4.0
12,WASP-80b,0.80137,4.0,0.0,4.0
13,TOI-3884b,0.793151,4.0,0.0,4.0
14,TOI-2076b,0.784932,4.0,0.0,4.0
15,HAT-P-26b,0.776712,4.0,0.0,4.0
16,TOI-700c,0.768493,4.0,0.0,4.0
17,TOI-1268b,0.760274,4.0,0.0,4.0
18,HAT-P-11b,0.752055,4.0,0.0,4.0
19,HD_110067b,0.743836,4.0,0.0,4.0
20,WASP-69b,0.735616,4.0,0.0,4.0
21,TOI-2134b,0.727397,4.0,0.0,4.0
22,WASP-107b,0.719178,4.0,0.0,4.0
23,WASP-29b,0.710959,4.0,0.0,4.0
24,55_Cnce,0.70274,4.0,0.0,4.0
25,HD_213885b,0.694521,4.0,0.0,4.0
26,EPIC-212813907b,0.686301,1.0,0.0,1.0
27,TOI-561b,0.678082,4.0,0.0,4.0
28,TOI-1408b,0.669863,1.0,0.0,1.0
29,GJ_486b,0.661644,4.0,0.0,4.0
30,TOI-1130b,0.653425,1.0,0.0,1.0
31,TOI-1130c,0.645205,1.0,0.0,1.0
32,IRAS_04125+2902b,0.636986,1.0,0.0,1.0
33,TOI-3235b,0.628767,1.0,0.0,1.0
34,TOI-3757b,0.620548,1.0,0.0,1.0
35,TOI-1860b,0.612329,4.0,0.0,4.0
36,GJ_806b,0.60411,4.0,0.0,4.0
37,TOI-1634b,0.59589,4.0,0.0,4.0
38,TOI-431b,0.587671,4.0,0.0,4.0
39,TOI-4527b,0.579452,4.0,0.0,4.0
40,K2-141b,0.571233,4.0,0.0,4.0
41,TOI-5349b,0.563014,1.0,0.0,1.0
42,HD_20329b,0.554795,4.0,0.0,4.0
43,GJ_367b,0.546575,4.0,0.0,4.0
44,HD_3167b,0.538356,4.0,0.0,4.0
45,TOI-519b,0.530137,1.0,0.0,1.0
46,TOI-7189b,0.521918,1.0,0.0,1.0
47,WASP-79b,0.513699,4.0,0.0,4.0
48,K2-33b,0.505479,1.0,0.0,1.0
49,TOI-1027b,0.49726,1.0,0.0,1.0
50,TOI-1027c,0.489041,1.0,0.0,1.0
51,TOI-1027d,0.480822,1.0,0.0,1.0
52,WASP-84b,0.472603,1.0,0.0,1.0
53,WASP-132b,0.464384,1.0,0.0,1.0
54,HATS-75b,0.456164,1.0,0.0,1.0
55,TOI-5671b,0.447945,1.0,0.0,1.0
56,TOI-7149b,0.439726,1.0,0.0,1.0
57,TOI-5205b,0.431507,1.0,0.0,1.0
58,TOI-1899b,0.423288,1.0,0.0,1.0
59,TOI-7265b,0.415068,1.0,0.0,1.0
60,TOI-6034b,0.406849,1.0,0.0,1.0
61,TOI-5293_Ab,0.39863,1.0,0.0,1.0
62,HATS-6b,0.390411,1.0,0.0,1.0
63,TOI-6894b,0.382192,1.0,0.0,1.0
64,TOI-3714b,0.373973,1.0,0.0,1.0
65,LTT_3780b,0.365753,4.0,0.0,4.0
66,HD_93963_Ab,0.357534,4.0,0.0,4.0
67,KELT-11b,0.349315,1.0,0.0,1.0
68,TOI-700b,0.341096,4.0,0.0,4.0
69,TOI-700d,0.332877,5.0,0.0,5.0
70,V1298_Taub,0.324658,4.0,0.0,4.0
71,GJ_3090b,0.316438,4.0,0.0,4.0
72,TOI-1338_Ab,0.308219,4.0,0.0,4.0
73,TOI-1420b,0.3,4.0,0.0,4.0
