# Prioritization file for monitoring-standard
# Version: 0.2.0
# Updated by: Ben Hord
# Updated on: 2025-08-13 19:52:35
#
# Column 1: Rank
# Column 2: Target Name
# Column 3: Priority
# Column 4: Number of Hours Requested
# Column 5: Number of Hours Observed
# Column 6: Number of Hours Remaining
rank,target,priority,hours_req,hours_obs,hours_rem
0,GD_153,0.9,1000.0,0.0,1000.0
1,BD+00_4260,0.884211,1000.0,0.0,1000.0
2,BD+02_3375,0.868421,1000.0,0.0,1000.0
3,BD+17_4708,0.852632,1000.0,0.0,1000.0
4,BD+21_0607,0.836842,1000.0,0.0,1000.0
5,BD+26_2606,0.821053,1000.0,0.0,1000.0
6,HD_111980,0.805263,1000.0,0.0,1000.0
7,HD_115169,0.789474,1000.0,0.0,1000.0
8,HD_116405,0.773684,1000.0,0.0,1000.0
9,HD_142331,0.757895,1000.0,0.0,1000.0
10,HD_160617,0.742105,1000.0,0.0,1000.0
11,HD_167060,0.726316,1000.0,0.0,1000.0
12,HD_200654,0.710526,1000.0,0.0,1000.0
13,HD_233511,0.694737,1000.0,0.0,1000.0
14,HD_31128,0.678947,1000.0,0.0,1000.0
15,HD_37725,0.663158,1000.0,0.0,1000.0
16,HD_74000,0.647368,1000.0,0.0,1000.0
17,HD_84937,0.631579,1000.0,0.0,1000.0
18,HD_9051,0.615789,1000.0,0.0,1000.0
19,HD_93521,0.6,1000.0,0.0,1000.0
20,Ross_484,0.584211,1000.0,0.0,1000.0
21,TYC_4833-626-1,0.568421,1000.0,0.0,1000.0
22,TYC_5017-35-1,0.552632,1000.0,0.0,1000.0
23,BD+21_607,0.536842,1000.0,0.0,1000.0
24,BD+54_1216,0.521053,1000.0,0.0,1000.0
25,GD_71,0.505263,1000.0,0.0,1000.0
26,GJ_15A,0.489474,1000.0,0.0,1000.0
27,HD_14943,0.473684,1000.0,0.0,1000.0
28,HD_2811,0.457895,1000.0,0.0,1000.0
29,HD_37962,0.442105,1000.0,0.0,1000.0
30,HD_38949,0.426316,1000.0,0.0,1000.0
31,HD_55677,0.410526,1000.0,0.0,1000.0
32,HZ4,0.394737,1000.0,0.0,1000.0
33,WD0148+467,0.378947,1000.0,0.0,1000.0
34,WD0227+050,0.363158,1000.0,0.0,1000.0
35,WD0308-565,0.347368,1000.0,0.0,1000.0
36,WD0320-539,0.331579,1000.0,0.0,1000.0
37,WD0809+177,0.315789,1000.0,0.0,1000.0
38,WD2341+322,0.3,1000.0,0.0,1000.0
