# Prioritization file for occultation-standard
# Version: 1.1.0
# Updated by: Ben Hord
# Updated on: 2026-09-17 19:45:57
#
# Column 1: Rank
# Column 2: Target Name
# Column 3: Priority
# Column 4: Number of Hours Requested
# Column 5: Number of Hours Observed
# Column 6: Number of Hours Remaining
rank,target,priority,hours_req,hours_obs,hours_rem
0,GJ_3090,0.9,600.0,0.0,600.0
1,TOI-3884,0.899889,600.0,0.0,600.0
2,TOI-244,0.899778,600.0,0.0,600.0
3,HAT-P-12,0.899667,600.0,0.0,600.0
4,TOI-270,0.899556,600.0,0.0,600.0
5,L_98-59,0.899445,600.0,0.0,600.0
6,TOI-2076,0.899333,600.0,0.0,600.0
7,HAT-P-26,0.899222,600.0,0.0,600.0
8,HAT-P-18,0.899111,600.0,0.0,600.0
9,WASP-107,0.899,600.0,0.0,600.0
10,WASP-80,0.898889,600.0,0.0,600.0
11,WASP-69,0.898778,600.0,0.0,600.0
12,TOI-942,0.898667,600.0,0.0,600.0
13,TOI-3629,0.898556,600.0,0.0,600.0
14,TOI-674,0.898445,600.0,0.0,600.0
15,GJ_3470,0.898334,600.0,0.0,600.0
16,HD_73583,0.898223,600.0,0.0,600.0
17,HAT-P-11,0.898111,600.0,0.0,600.0
18,WASP-52,0.898,600.0,0.0,600.0
19,TOI-1408,0.897889,600.0,0.0,600.0
20,TOI-1130,0.897778,600.0,0.0,600.0
21,TOI-561,0.897667,600.0,0.0,600.0
22,EPIC-212813907,0.897556,600.0,0.0,600.0
23,GJ_486,0.897445,600.0,0.0,600.0
24,55_Cnc,0.897334,600.0,0.0,600.0
25,TOI-700,0.897223,600.0,0.0,600.0
26,HD_213885,0.897112,600.0,0.0,600.0
27,TOI-1634,0.897001,600.0,0.0,600.0
28,HD_20329,0.896889,600.0,0.0,600.0
29,GJ_411,0.896778,600.0,0.0,600.0
30,HIP_18327,0.896667,600.0,0.0,600.0
31,WASP-43,0.896556,600.0,0.0,600.0
32,Wolf_940,0.896445,600.0,0.0,600.0
33,TOI-7189,0.896334,600.0,0.0,600.0
34,WASP-6,0.896223,600.0,0.0,600.0
35,GJ_94,0.896112,600.0,0.0,600.0
36,WASP-79,0.896001,600.0,0.0,600.0
37,WASP-132,0.89589,600.0,0.0,600.0
38,TOI-4527,0.895779,600.0,0.0,600.0
39,TOI-3714,0.895667,600.0,0.0,600.0
40,TW_Hya,0.895556,600.0,0.0,600.0
41,HATS-75,0.895445,600.0,0.0,600.0
42,TOI-5349,0.895334,600.0,0.0,600.0
43,TOI-6034,0.895223,600.0,0.0,600.0
44,BZ_Cet,0.895112,600.0,0.0,600.0
45,KIC_8462852,0.895001,600.0,0.0,600.0
46,AO_Men,0.89489,600.0,0.0,600.0
47,TOI-3235,0.894779,600.0,0.0,600.0
48,LP_738-14,0.894668,600.0,0.0,600.0
49,SCR_J1845-6357,0.894557,600.0,0.0,600.0
50,HD_285773,0.894445,600.0,0.0,600.0
51,TOI-3757,0.894334,600.0,0.0,600.0
52,TOI-5205,0.894223,600.0,0.0,600.0
53,BD_30_2512,0.894112,600.0,0.0,600.0
54,TOI-5293_A,0.894001,600.0,0.0,600.0
55,KIC_7955255,0.89389,600.0,0.0,600.0
56,AD_Leo,0.893779,600.0,0.0,600.0
57,GJ_806,0.893668,600.0,0.0,600.0
58,GJ_338_A,0.893557,600.0,0.0,600.0
59,TOI-7265,0.893446,600.0,0.0,600.0
60,TOI-1027,0.893335,600.0,0.0,600.0
61,TOI-1860,0.893223,600.0,0.0,600.0
62,GJ_876,0.893112,600.0,0.0,600.0
63,WASP-84,0.893001,600.0,0.0,600.0
64,GJ_338_B,0.89289,600.0,0.0,600.0
65,IRAS_04125_2902,0.892779,600.0,0.0,600.0
66,HD_189733,0.892668,600.0,0.0,600.0
