target,priority,transits_required,category
WASP-69b,0.8,10,primary
WASP-107b,0.8,10,primary
HIP 65 Ab,0.8,10,primary
TOI-3884b,0.8,10,primary
GJ 1214b,0.8,10,primary
WASP-177b,0.8,10,primary
WASP-80b,0.8,10,primary
WASP-52b,0.8,10,primary
TOI-942b,0.8,10,primary
K2-198b,0.8,10,primary
L 98-59d,0.8,10,primary
TOI-2427b,0.8,10,primary
TOI-1685b,0.8,10,primary
TOI-836b,0.8,10,primary
TOI-1416b,0.8,10,primary
HD 3167b,0.8,10,primary
TOI-776b,0.8,10,primary
GJ 9827b,0.8,10,primary
TOI-244b,0.8,10,primary
LTT 1445 Ac,0.8,10,primary
HAT-P-18b,0.5,10,secondary
GJ 3470b,0.5,10,secondary
HAT-P-12b,0.5,10,secondary
TOI-216b,0.5,10,secondary
TOI-942c,0.5,10,secondary
K2-141c,0.5,10,secondary
GJ 3090b,0.5,10,secondary
TOI-2076b,0.5,10,secondary
HAT-P-26b,0.5,10,secondary
WASP-29b,0.5,10,secondary
TOI-2411b,0.5,10,secondary
K2-141b,0.5,10,secondary
TOI-1634b,0.5,10,secondary
HIP 113103b,0.5,10,secondary
TOI-540b,0.5,10,secondary
L 98-59b,0.5,10,secondary
TOI-1452b,0.5,10,secondary
WASP-132c,0.5,10,secondary
GJ 806b,0.5,10,secondary
LTT 1445 Ab,0.5,10,secondary
