# Prioritization file for secondary-exoplanet
# Version: 1.0.0
# Updated by: Joe P. Renaud
# Updated on: 2026-09-04 16:44:17
#
# Column 1: Rank
# Column 2: Target Name
# Column 3: Priority
# Column 4: Number of Transits Requested
# Column 5: Number of Transits Observed
# Column 6: Number of Transits Remaining
rank,target,priority,transits_req,transits_obs,transits_rem
0,HAT-P-26b,0.9,10.0,0.0,10.0
1,HD_110067b,0.880645,10.0,0.0,10.0
2,HD_260655b,0.86129,10.0,0.0,10.0
3,L_98-59d,0.841935,10.0,0.0,10.0
4,TOI-1268b,0.822581,10.0,0.0,10.0
5,TOI-2076b,0.803226,10.0,0.0,10.0
6,TOI-2134b,0.783871,10.0,0.0,10.0
7,TOI-3884b,0.764516,10.0,0.0,10.0
8,TOI-674b,0.745161,10.0,0.0,10.0
9,TOI-700c,0.725806,10.0,0.0,10.0
10,WASP-107b,0.706452,10.0,0.0,10.0
11,GJ_1214b,0.687097,10.0,0.0,10.0
12,GJ_806b,0.667742,10.0,0.0,10.0
13,HAT-P-12b,0.648387,10.0,0.0,10.0
14,HAT-P-17b,0.629032,10.0,0.0,10.0
15,HAT-P-18b,0.609677,10.0,0.0,10.0
16,L_98-59b,0.590323,10.0,0.0,10.0
17,TOI-1064c,0.570968,10.0,0.0,10.0
18,TOI-216b,0.551613,10.0,0.0,10.0
19,TOI-2443b,0.532258,10.0,0.0,10.0
20,TOI-421c,0.512903,10.0,0.0,10.0
21,TOI-431d,0.493548,10.0,0.0,10.0
22,TOI-5789c,0.474194,10.0,0.0,10.0
23,V1298_Taud,0.454839,10.0,0.0,10.0
24,WASP-84b,0.435484,10.0,0.0,10.0
25,HAT-P-11b,0.416129,10,0,10
26,WASP-29b,0.396774,10,0,10
27,V1298_Taub,0.377419,10.0,0.0,10.0
28,WASP-80b,0.358065,10,0,10
29,GJ_3090b,0.33871,4.0,0.0,4.0
30,TOI-1338_Ab,0.319355,4.0,0.0,4.0
31,TOI-1420b,0.3,4.0,0.0,4.0
